,Symbol,Name,LastSale,Sector,industry
2355,RNGR,"Ranger Energy Services, Inc.",5.83,Energy,Oilfield Services/Equipment
2356,PACK,Ranpak Holdings Corp,6.47,Capital Goods,Containers/Packaging
2357,PACK.WS,Ranpak Holdings Corp,,,
2358,RJF,"Raymond James Financial, Inc.",75.01,Finance,Investment Bankers/Brokers/Service
2359,RYAM,Rayonier Advanced Materials Inc.,4.89,Basic Industries,Major Chemicals
2360,RYAM^A,Rayonier Advanced Materials Inc.,38.18,,
2361,RYN,Rayonier Inc.,28.03,Consumer Services,Real Estate Investment Trusts
2362,RTN,Raytheon Company,180.15,Capital Goods,Industrial Machinery/Components
2363,RMAX,"RE/MAX Holdings, Inc.",27.24,Finance,Real Estate
2364,RC,Ready Capital Corporation,14.9,Consumer Services,Real Estate Investment Trusts
2365,RCA,Ready Capital Corporation,27.12,Consumer Services,Real Estate Investment Trusts
2366,RCB,Ready Capital Corporation,25.45,Consumer Services,Real Estate Investment Trusts
2367,RCP,Ready Capital Corporation,25.44,Consumer Services,Real Estate Investment Trusts
2368,RLGY,Realogy Holdings Corp.,4.75,Finance,Real Estate
2369,O,Realty Income Corporation,68.96,Consumer Services,Real Estate Investment Trusts
2370,RLH,Red Lion Hotels Corporation,6.5,Consumer Services,Hotels/Resorts
2371,RWT,"Redwood Trust, Inc.",16.4,Consumer Services,Real Estate Investment Trusts
2372,RBC,Regal Beloit Corporation,75.72,Consumer Durables,Metal Fabrications
2373,RWGE,Regalwood Global Energy Ltd.,10.24,Finance,Business Services
2374,RWGE.U,Regalwood Global Energy Ltd.,,,
2375,RWGE.WS,Regalwood Global Energy Ltd.,,,
2376,RM,Regional Management Corp.,26.18,Finance,Finance: Consumer Services
2377,RF,Regions Financial Corporation,14.56,Finance,Major Banks
2378,RF^A,Regions Financial Corporation,25.6836,,
2379,RF^B,Regions Financial Corporation,28.34,,
2380,RF^C,Regions Financial Corporation,26.72,,
2381,RGS,Regis Corporation,16.68,Consumer Services,Other Consumer Services
2382,RGA,"Reinsurance Group of America, Incorporated",147.42,Finance,Life Insurance
2383,RZA,"Reinsurance Group of America, Incorporated",27.31,Finance,Life Insurance
2384,RZB,"Reinsurance Group of America, Incorporated",27.6656,Finance,Life Insurance
2385,RS,Reliance Steel & Aluminum Co.,96.64,Basic Industries,Metal Fabrications
2386,RELX,RELX PLC,22.96,Consumer Services,Publishing
2387,RNR,RenaissanceRe Holdings Ltd.,179.44,Finance,Property-Casualty Insurers
2388,RNR^C,RenaissanceRe Holdings Ltd.,26.12,,
2389,RNR^E,RenaissanceRe Holdings Ltd.,25.29,,
2390,RNR^F,RenaissanceRe Holdings Ltd.,25.94,,
2391,SOL,Renesola Ltd.,1.0104,Technology,Semiconductors
2392,RENN,Renren Inc.,0.81,Technology,EDP Services
2393,RPLA,Replay Acquisition Corp.,9.88,Finance,Business Services
2394,RPLA.U,Replay Acquisition Corp.,,,
2395,RPLA.WS,Replay Acquisition Corp.,,,
2396,RSG,"Republic Services, Inc.",86.87,Public Utilities,Environmental Services
2397,REZI,"Resideo Technologies, Inc.",17.1,Capital Goods,Wholesale Distributors
2398,RMD,ResMed Inc.,126.9,Health Care,Medical/Dental Instruments
2399,RFP,Resolute Forest Products Inc.,5.06,Basic Industries,Paper
2400,QSR,Restaurant Brands International Inc.,76.23,Consumer Services,Restaurants
2401,RPAI,"Retail Properties of America, Inc.",11.58,Consumer Services,Real Estate Investment Trusts
2402,RVI,Retail Value Inc.,36.22,Finance,Real Estate
2403,REVG,"REV Group, Inc.",13.13,Capital Goods,Auto Manufacturing
2404,REV,"Revlon, Inc.",17.45,Consumer Non-Durables,Package Goods/Cosmetics
2405,RVLV,"Revolve Group, Inc.",31.56,Consumer Services,Catalog/Specialty Distribution
2406,REX,REX American Resources Corporation,70.67,Basic Industries,Major Chemicals
2407,REXR,"Rexford Industrial Realty, Inc.",40.56,Consumer Services,Real Estate Investment Trusts
2408,REXR^A,"Rexford Industrial Realty, Inc.",25.7,,
2409,REXR^B,"Rexford Industrial Realty, Inc.",26.0,,
2410,RXN,Rexnord Corporation,27.42,Technology,Industrial Machinery/Components
2411,RXN^A,Rexnord Corporation,55.97,,
2412,RH,RH,134.05,Consumer Services,Other Specialty Stores
2413,RNG,"Ringcentral, Inc.",131.33,Technology,EDP Services
2414,RIO,Rio Tinto Plc,52.14,Basic Industries,Precious Metals
2415,RBA,Ritchie Bros. Auctioneers Incorporated,34.75,Miscellaneous,Business Services
2416,RAD,Rite Aid Corporation,6.88,Health Care,Medical/Nursing Services
2417,RMM,"RiverNorth Managed Duration Municipal Income Fund, Inc.",20.35,,
2418,RMPL^,RiverNorth Marketplace Lending Corporation,25.8863,,
2419,RSF,RiverNorth Marketplace Lending Corporation,18.861,,
2420,RMI,"RiverNorth Opportunistic Municipal Income Fund, Inc.",22.2,,
2421,RIV,"RiverNorth Opportunities Fund, Inc.",17.11,,
2422,OPP,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",17.52,,
2423,RLI,RLI Corp.,88.3,Finance,Property-Casualty Insurers
2424,RLJ,RLJ Lodging Trust,16.46,Consumer Services,Real Estate Investment Trusts
2425,RLJ^A,RLJ Lodging Trust,26.72,,
2426,RMG,RMG Acquisition Corp.,9.9,Finance,Business Services
2427,RMG.U,RMG Acquisition Corp.,,,
2428,RMG.WS,RMG Acquisition Corp.,,,
2429,RRTS,"Roadrunner Transportation Systems, Inc.",9.04,Transportation,Oil Refining/Marketing
2430,ROAN,"Roan Resources, Inc.",1.07,Energy,Oil & Gas Production
2431,RHI,Robert Half International Inc.,55.99,Technology,Professional Services
2432,ROK,"Rockwell Automation, Inc.",150.8,Capital Goods,Industrial Machinery/Components
2433,RCI,"Rogers Communication, Inc.",51.67,Consumer Services,Television Services
2434,ROG,Rogers Corporation,139.71,Basic Industries,Major Chemicals
2435,ROL,"Rollins, Inc.",32.15,Finance,Diversified Commercial Services
