Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
XIN,Xinyuan Real Estate Co Ltd,4.01,3.8,5.236907730673316,Basic Industries
XOM,Exxon Mobil Corporation,70.28,68.19,2.973819009675588,Energy
XPO,"XPO Logistics, Inc.",67.3,57.04,15.245170876671619,Consumer Services
XRF,China Rapid Finance Limited,0.493,1.02,-106.89655172413795,Finance
XRX,Xerox Holdings Corporation,29.34,19.76,32.65167007498295,Technology
XYF,X Financial,2.86,4.27,-49.30069930069929,Finance
XYL,Xylem Inc.,74.6,66.72,10.563002680965141,Capital Goods
Y,Alleghany Corporation,675.02,623.32,7.6590323249681385,Finance
YELP,Yelp Inc.,33.53,34.99,-4.3543095735162565,Consumer Services
YETI,"YETI Holdings, Inc.",29.53,14.84,49.7460209955977,Consumer Non-Durables
YEXT,"Yext, Inc.",19.69,14.85,24.581005586592187,Technology
YPF,YPF Sociedad Anonima,15.48,13.39,13.501291989664082,Energy
YRD,Yirendai Ltd.,10.16,10.75,-5.807086614173227,Finance
YUM,"Yum! Brands, Inc.",115.07,91.92,20.11818892847831,Consumer Services
YUMC,"Yum China Holdings, Inc.",42.82,33.53,21.69546940681924,Consumer Services
ZAYO,"Zayo Group Holdings, Inc.",33.66,22.84,32.14497920380273,Public Utilities
ZBH,"Zimmer Biomet Holdings, Inc.",134.92,103.72,23.124814705010373,Health Care
ZBK,Zions Bancorporation N.A.,28.9175,27.64,4.417740122763032,Finance
ZEN,"Zendesk, Inc.",76.45,58.37,23.649444081098764,Technology
ZNH,China Southern Airlines Company Limited,28.6,30.36,-6.153846153846146,Transportation
ZTO,ZTO Express (Cayman) Inc.,18.24,15.83,13.212719298245606,Transportation
ZTS,Zoetis Inc.,112.57,85.54,24.01172603713244,Health Care
ZUO,"Zuora, Inc.",13.96,18.14,-29.942693409742116,Technology
ZYME,Zymeworks Inc.,22.78,14.68,35.55750658472345,Health Care
